timestamp,location,server,delay_ms,offset_ms,jitter_ms
2026-02-09 02:00:01,Japan,ntp-b3.nict.go.,283.5537,174.6954,165.712
2026-02-09 02:20:01,Ireland,140.203.204.77,57.4211,105.8037,102.9502
2026-02-09 02:20:01,UK,ntp0.cam.ac.uk,69.3567,111.096,104.774
2026-02-09 02:20:01,Germany,ptbtime1.ptb.de,101.9911,105.421,28.9214
2026-02-09 02:20:01,US,time-a-g.nist.g,147.8593,105.3478,101.3882
2026-02-09 02:20:01,Australia,ns1.anu.edu.au,372.4897,-97.8792,57.17
2026-02-09 02:20:01,Japan,ntp-b3.nict.go.,347.7514,96.7139,159.6383
2026-02-09 02:40:01,Ireland,140.203.204.77,50.9059,80.161,103.5516
2026-02-09 02:40:01,UK,ntp0.cam.ac.uk,69.3567,111.096,92.7243
2026-02-09 02:40:01,Germany,ptbtime1.ptb.de,96.0781,99.147,26.3606
2026-02-09 02:40:01,US,time-a-g.nist.g,145.3249,108.8597,93.0435
2026-02-09 02:40:01,Australia,ns1.anu.edu.au,382.4008,82.3274,143.8609
2026-02-09 02:40:01,Japan,ntp-b3.nict.go.,307.882,86.5617,113.8097
2026-02-09 03:00:01,Ireland,140.203.204.77,50.9059,80.161,102.996
2026-02-09 03:00:01,UK,ntp0.cam.ac.uk,72.4956,83.5654,114.7591
2026-02-09 03:00:01,Germany,ptbtime1.ptb.de,108.3522,32.6484,93.5551
2026-02-09 03:00:01,US,time-a-g.nist.g,125.4531,39.4036,97.2697
2026-02-09 03:00:01,Australia,ns1.anu.edu.au,382.4008,82.3274,155.9152
2026-02-09 03:00:01,Japan,ntp-b3.nict.go.,307.882,86.5617,116.6434
2026-02-09 03:20:01,Ireland,140.203.204.77,67.36,52.6422,108.1023
2026-02-09 03:20:01,UK,ntp0.cam.ac.uk,72.4956,83.5654,114.7591
2026-02-09 03:20:01,Germany,ptbtime1.ptb.de,105.9873,33.583,87.1356
2026-02-09 03:20:01,US,time-a-g.nist.g,125.4531,39.4036,100.4754
2026-02-09 03:20:01,Australia,ns1.anu.edu.au,395.2003,-27.0639,219.2719
2026-02-09 03:20:01,Japan,ntp-b3.nict.go.,288.3221,28.1459,98.9958
2026-02-09 03:40:01,Ireland,140.203.204.77,50.4337,6.624,137.4255
2026-02-09 03:40:01,UK,ntp0.cam.ac.uk,72.4956,83.5654,119.6935
2026-02-09 03:40:01,Germany,ptbtime1.ptb.de,95.7797,10.3421,101.9396
2026-02-09 03:40:01,US,time-a-g.nist.g,138.3727,4.9872,98.9177
2026-02-09 03:40:01,Australia,ns1.anu.edu.au,395.2003,-27.0639,187.4148
2026-02-09 03:40:01,Japan,ntp-b3.nict.go.,288.3221,28.1459,81.4392
2026-02-09 04:00:01,Ireland,140.203.204.77,50.4337,6.624,118.13
2026-02-09 04:00:01,UK,ntp0.cam.ac.uk,108.4308,-20.5363,208.2736
2026-02-09 04:00:01,Germany,ptbtime1.ptb.de,95.7797,10.3421,98.7242
2026-02-09 04:00:01,US,time-a-g.nist.g,138.3727,4.9872,95.7932
2026-02-09 04:00:01,Australia,ns1.anu.edu.au,430.026,-31.4143,217.6876
2026-02-09 04:00:01,Japan,ntp-b3.nict.go.,288.3221,28.1459,78.6718
2026-02-09 04:20:01,Ireland,140.203.204.77,50.4337,6.624,118.13
2026-02-09 04:20:01,UK,ntp0.cam.ac.uk,108.4308,-20.5363,211.3436
2026-02-09 04:20:01,Germany,ptbtime1.ptb.de,72.1595,19.7136,74.9866
2026-02-09 04:20:01,US,time-a-g.nist.g,167.6016,45.8471,85.6744
2026-02-09 04:20:01,Australia,ns1.anu.edu.au,395.2003,-27.0639,182.5641
2026-02-09 04:20:01,Japan,ntp-b3.nict.go.,288.3221,28.1459,95.6856
2026-02-09 04:40:01,Ireland,140.203.204.77,50.4337,6.624,118.13
2026-02-09 04:40:01,UK,ntp0.cam.ac.uk,73.9026,19.3102,154.3066
2026-02-09 04:40:01,Germany,ptbtime1.ptb.de,72.1595,19.7136,55.9696
2026-02-09 04:40:01,US,time-a-g.nist.g,138.3727,4.9872,110.9608
2026-02-09 04:40:01,Australia,ns1.anu.edu.au,448.4773,1.0078,121.6848
2026-02-09 04:40:01,Japan,ntp-b3.nict.go.,288.3221,28.1459,126.6975
2026-02-09 05:00:01,Ireland,140.203.204.77,50.4337,6.624,118.13
2026-02-09 05:00:01,UK,ntp0.cam.ac.uk,73.9026,19.3102,154.3066
2026-02-09 05:00:01,Germany,ptbtime1.ptb.de,72.1595,19.7136,69.7236
2026-02-09 05:00:01,US,time-a-g.nist.g,141.8018,40.7949,49.2712
2026-02-09 05:00:01,Australia,ns1.anu.edu.au,448.4773,1.0078,121.6848
2026-02-09 05:00:01,Japan,ntp-b3.nict.go.,443.624,-13.0782,140.0671
2026-02-09 05:20:01,Ireland,140.203.204.77,72.7562,41.8524,98.8749
2026-02-09 05:20:01,UK,ntp0.cam.ac.uk,73.9026,19.3102,154.3066
2026-02-09 05:20:01,Germany,ptbtime1.ptb.de,72.1595,19.7136,114.27
2026-02-09 05:20:01,US,time-a-g.nist.g,141.8018,40.7949,53.8806
2026-02-09 05:20:01,Australia,ns1.anu.edu.au,448.4773,1.0078,157.5567
2026-02-09 05:20:01,Japan,ntp-b3.nict.go.,443.624,-13.0782,139.8447
2026-02-09 05:40:01,Ireland,140.203.204.77,72.7562,41.8524,110.802
2026-02-09 05:40:01,UK,ntp0.cam.ac.uk,73.9026,19.3102,154.3066
2026-02-09 05:40:01,Germany,ptbtime1.ptb.de,105.6919,74.7648,102.6536
2026-02-09 05:40:01,US,time-a-g.nist.g,141.8018,40.7949,72.4419
2026-02-09 05:40:01,Australia,ns1.anu.edu.au,448.4773,1.0078,187.3801
2026-02-09 05:40:01,Japan,ntp-b3.nict.go.,306.7616,66.7439,152.2189
2026-02-09 06:00:01,Ireland,140.203.204.77,72.5992,84.7914,106.039
2026-02-09 06:00:01,UK,ntp0.cam.ac.uk,73.9026,19.3102,182.0694
2026-02-09 06:00:01,Germany,ptbtime1.ptb.de,105.6919,74.7648,111.732
2026-02-09 06:00:01,US,time-a-g.nist.g,135.2988,74.0395,48.8452
2026-02-09 06:00:01,Australia,ns1.anu.edu.au,448.4773,1.0078,192.1101
2026-02-09 06:00:01,Japan,ntp-b3.nict.go.,306.7616,66.7439,179.5538
