iteration,value_ns
594,-11417
595,-250
596,7458
597,-4000
598,3875
599,-10000
600,9500
601,-3541
602,875
603,-1084
604,42
605,-167
606,84
607,541
608,9042
609,-12333
610,4625
611,6625
612,-7709
613,5334
614,-459
615,-958
616,7542
617,-12917
618,-958
619,3291
620,-2333
621,2292
622,3250
623,-8834
624,2834
625,3083
626,-417
627,0
628,-166
629,-42
630,0
631,-667
632,-500
633,25209
634,-17625
635,-8084
636,500
637,-291
638,-2834
639,3875
640,-6291
641,6416
642,-4708
643,-1000
644,9292
645,-6292
646,37000
647,-38917
648,10292
649,-8125
650,-49833
651,63792
652,-20334
653,9834
654,541
655,-2666
656,17916
657,-21041
658,13041
659,2084
660,-6959
661,-5250
662,709
663,-375
664,375
665,-542
666,3792
667,-2917
668,12542
669,-15417
670,4750
671,7708
672,-11958
673,-1083
674,2250
675,500
676,666
677,-875
678,917
679,-917
680,10834
681,-20292
682,20458
683,-291
684,-11292
685,-208
686,375
687,-2375
688,1541
689,4167
690,-4708
691,11375
692,-3000
693,-10417
694,750
695,7208
696,3292
697,-8167
698,917
699,-1083
700,1000
701,625
702,250
703,625
704,-6042
705,24917
706,-24667
707,7083
708,-2041
709,-500
710,-584
711,2000
712,542
713,875
714,-4750
715,250
716,1292
717,15750
718,-198417
719,230250
720,-59208
721,15125
722,-3500
723,625
724,-5167
725,22958
726,-21083
727,5792
728,20541
729,-9750
730,-15833
731,3792
732,-2167
733,583
734,-416
735,-180875
736,223458
737,-52375
738,35667
739,-29459
740,1709
741,14000
742,-14125
743,4500
744,-1209
745,-791
746,6458
747,-6667
748,2959
749,-2750
750,-792
751,15167
752,-18000
753,9625
754,-6917
755,1583
756,-625
757,-1833
758,-2250
759,10292
760,-7000
761,8375
762,-8084
763,-1041
764,-584
765,709
766,14958
767,-13125
768,-2958
769,-834
770,5125
771,-1958
772,958
773,4625
774,-6416
775,10166
776,-2958
777,-8917
778,15375
779,-31333
780,6000
781,-2125
782,23667
783,-10167
784,4917
785,-4042
786,-4583
787,2458
788,13458
789,-16291
790,29375
791,-15084
792,-8250
793,-165166
794,209833
795,-55208
796,13291
797,-3916
798,583
799,-708
800,12708
801,-20417
802,14125
803,-12291
804,8791
805,5250
806,3584
807,-4959
808,-6541
809,1458
810,8125
811,-11125
812,27708
813,-32916
814,6250
815,166
816,584
817,-625
818,291
819,14334
820,-15875
821,2083
822,-1292
823,1542
824,-542
825,42
826,17458
827,-20666
828,5541
829,-1666
830,-375
831,791
832,500
833,542
834,-5625
835,10333
836,-6083
837,833
838,15709
839,-21834
840,6750
841,-1833
842,-2500
843,3208
844,-583
845,-3875
846,12083
847,-8833
848,1333
849,-1291
850,10083
851,-12833
852,4625
853,-1584
854,292
855,-917
856,-2458
857,3833
858,19125
859,-25083
860,3458
861,4959
862,-1000
863,17541
864,-23208
865,5667
866,-2334
867,-3041
868,-167
869,5042
870,-7917
871,22125
872,-9458
873,-5375
874,11166
875,-875
876,-13750
877,-166416
878,214541
879,-57250
880,10792
881,1333
882,-2916
883,4333
884,-2375
885,4667
886,-7542
887,25167
888,-27084
889,8625
890,20334
891,-31625
892,5291
893,2459
894,750
895,-1042
896,333
897,6084
898,-6292
899,458
900,21292
901,-30917
902,14709
903,-4917
904,-583
905,1375
906,2416
907,959
908,-3542
909,8167
910,-10584
911,21542
912,-24792
913,11542
914,-10625
915,-42
916,2584
917,9458
918,-5083
919,-91542
920,113833
921,-36333
922,11458
923,-5000
924,21459
925,-34375
926,11416
927,-5458
928,417
929,4250
930,-1834
931,-2500
932,10125
933,-11958
934,3208
935,13084
936,-11000
937,1500
938,-5000
939,16458
940,-16875
941,7417
942,-5792
943,-1708
944,-5875
945,5166
946,-2791
947,6541
948,-8875
949,-583
950,292
951,1500
952,-140375
953,200291
954,-81083
955,22625
956,-5750
957,1583
958,-416
959,5583
960,-6708
961,7625
962,-6500
963,-85250
964,109041
965,-23958
966,5583
967,-6791
968,2916
969,-791
970,1375
971,-1250
972,-125
973,3458
974,-32125
975,35750
976,-9958
977,3708
978,3792
979,-7959
980,9417
981,-10000
982,2750
983,500
984,-750
985,-1042
986,4292
987,500
988,28500
989,-9500
990,-2458
991,19041
992,-22666
993,5875
994,1541
995,-5250
996,42
997,-1417
998,23084
999,-29417
1000,17500
1001,-6417
1002,-9875
1003,5250
1004,-125
1005,8292
1006,-3667
1007,5167
1008,-8833
1009,-1000
1010,3500
1011,-3750
1012,-209
1013,-2750
1014,6959
1015,-6875
1016,3458
1017,17917
1018,-17084
1019,22875
1020,-24500
1021,15709
1022,-17292
1023,28958
1024,-25083
1025,792
1026,11291
1027,-10958
1028,-125
1029,10708
1030,-13083
1031,14042
1032,-13709
1033,5417
1034,-4917
1035,-333
1036,1208
1037,-1583
1038,-1125
1039,2833
1040,917
1041,-83
1042,-625
1043,-84
1044,-416
1045,31083
1046,-39167
1047,14792
1048,-7250
1049,1333
1050,-2666
1051,7458
1052,-9083
1053,10458
1054,95125
1055,-66375
1056,-39958
1057,9458
1058,-10125
1059,11208
1060,-13000
1061,-2750
1062,-4291
1063,1958
1064,-2333
1065,6958
1066,-1542
1067,-3250
1068,-6000
1069,375
1070,-2375
1071,11459
1072,-3417
1073,4292
1074,11708
1075,458
1076,-5000
1077,17917
1078,-20792
1079,1334
1080,3958
1081,19208
1082,-29875
1083,14375
1084,-5041
1085,12333
1086,-8917
1087,9875
1088,-7375
1089,-1375
1090,-9583
1091,6667
1092,-1917
1093,3583
1094,-5208
1095,9125
1096,-11333
1097,1500
1098,1416
1099,7417
1100,-7542
1101,-19166
1102,1500
1103,20166
1104,1834
1105,791
1106,-4583
1107,4708
1108,-23958
1109,21792
1110,-1250
1111,3125
1112,-959
1113,-4708
1114,-17833
1115,27125
1116,-31667
1117,11583
1118,-9916
1119,6250
1120,25250
1121,-11125
1122,375
1123,1916
1124,-5583
1125,4708
1126,1417
1127,-2375
1128,-1500
1129,1875
1130,833
1131,-3000
1132,1500
1133,-1500
1134,5167
1135,-958
1136,-625
1137,-125
1138,125
1139,666
1140,250
1141,-37708
1142,48500
1143,25583
1144,-46083
1145,32417
1146,-29000
1147,12541
1148,-7666
1149,1083
1150,4583
1151,-6666
1152,4583
1153,-1542
1154,3000
1155,-143666
1156,171583
1157,-43375
1158,13750
1159,-8208
1160,2416
1161,8542
1162,-4167
1163,1500
1164,-2916
1165,-417
1166,2208
1167,-3000
1168,-52791
1169,78208
1170,-32917
1171,14584
1172,-3125
1173,-2709
1174,250
1175,-1083
1176,792
1177,-667
1178,292
1179,458
1180,-2792
1181,3584
1182,-1375
1183,15583
1184,-15042
1185,-3208
1186,7500
1187,-5792
1188,-3333
1189,8958
1190,-5875
1191,10667
1192,-9292
1193,-1541
1194,9000
1195,-8459
1196,10417
1197,-3333
1198,-4625
1199,-1709
1200,-3666
1201,500
1202,6083
1203,9333
1204,-2125
1205,-13541
1206,18041
1207,-18458
1208,8667
1209,9791
1210,-16375
1211,3084
1212,-1167
1213,-458
1214,875
1215,4166
1216,9792
1217,-16708
1218,6875
1219,-4750
1220,-3417
1221,9542
1222,-7667
1223,3625
1224,-2417
1225,792
1226,708
1227,-41
1228,-1250
1229,9833
1230,-11625
1231,11083
1232,3584
1233,-15459
1234,13750
1235,-150083
1236,177667
1237,-40459
1238,4917
1239,958
1240,-6333
1241,24833
1242,-16541
1243,-5459
1244,125
1245,292
1246,-17792
1247,28500
1248,-13000
1249,-55208
1250,67125
1251,-1125
1252,-11583
1253,16541
1254,-14833
1255,1750
1256,-1333
1257,291
1258,27000
1259,-24833
1260,-21542
1261,-64958
1262,106083
1263,-31708
1264,8625
1265,14625
1266,-12167
1267,125
1268,11209
1269,-12417
1270,7542
1271,10666
1272,-12208
1273,-42
1274,-16125
1275,-172291
1276,227875
1277,-39000
1278,9291
1279,-23416
1280,11083
1281,-1750
1282,-2250
1283,2125
1284,583
1285,-1458
1286,1417
1287,-1042
1288,-1708
1289,16125
1290,-2042
1291,-9125
1292,-5042
1293,1042
1294,-375
1295,750
1296,-1042
1297,792
1298,-542
1299,7084
1300,9750
1301,-2042
1302,-14875
1303,-2042
1304,4000
1305,-5500
1306,5125
1307,-875
1308,-791
1309,333
1310,-208
1311,916
1312,-3500
1313,16792
1314,-13458
1315,-4917
1316,7208
1317,-2291
1318,-1417
1319,667
1320,-61417
1321,84583
1322,-27750
1323,6042
1324,-4458
1325,24416
1326,12167
1327,-21792
1328,-13291
1329,2958
1330,-792
1331,-833
1332,542
1333,-4709
1334,13292
1335,-10750
1336,4167
1337,8625
1338,-14792
1339,3042
1340,4583
1341,-3667
1342,334
1343,-750
1344,-334
1345,14334
1346,-15875
1347,-959
1348,4834
1349,-1750
1350,16500
1351,-20042
1352,2667
1353,500
1354,2000
1355,-917
1356,209
1357,-625
1358,3583
1359,-12208
1360,11875
1361,-3834
1362,3084
1363,-2250
1364,166
1365,6459
1366,29916
1367,-43000
1368,19334
1369,-10417
1370,-958
1371,4833
1372,-5833
1373,1666
1374,-666
1375,8166
1376,-11625
1377,3542
1378,18667
1379,-24209
1380,3125
1381,1125
1382,-4375
1383,5917
1384,-3375
1385,3125
1386,-1083
1387,-3084
1388,2375
1389,4250
1390,-3791
1391,-2709
1392,8792
1393,-4250
1394,-6917
1395,6959
1396,-2750
1397,625
1398,-542
1399,17458
1400,-21333
1401,2667
1402,166
1403,3125
1404,-1750
1405,5000
1406,-10333
1407,4708
1408,1625
1409,-1541
1410,4541
1411,-5125
1412,17334
1413,-20000
1414,7083
1415,-3375
1416,208
1417,13125
1418,-15208
1419,-417
1420,3209
1421,-875
1422,3125
1423,-7417
1424,19708
1425,-18625
1426,5459
1427,-2375
1428,500
1429,-709
1430,542
1431,27542
1432,-19750
1433,-2875
1434,-1500
1435,-3000
1436,15166
1437,-19375
1438,7459
1439,-5334
1440,3334
1441,-3084
1442,5709
1443,-5084
1444,8042
1445,-8542
1446,7250
1447,-11500
1448,21959
1449,-20625
1450,5625
1451,-1584
1452,-333
1453,125
1454,83
1455,5209
1456,-6625
1457,2375
1458,3333
1459,-7125
1460,167
1461,20958
1462,-22000
1463,5833
1464,-2333
1465,125
1466,83
1467,209
1468,-459
1469,2334
1470,-1834
1471,17125
1472,-19625
1473,24334
1474,-24292
1475,9250
1476,-191042
1477,237000
1478,-69291
1479,16375
1480,-3667
1481,2208
